"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bahamas, The","BHS","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","606900000","686300000","799500000","969800000","1212000000","1276200000","1256000000","1349700000","1407600000","1518000000","1561700000","1661400000","1656300000","2021500000","2057900000","1972300000","1685700000","1738540000","1839800000","2006600000","2236600000","2505000000","3073400000","3130400000","3465880000","3160800000","3057267335.507","3082530000","3359180000","3942895405.33333","4714760000","4889382197.24422","4800590057.731","3941715000","4046241000","4549513000","5240413000","5171307000","5565312120.17294","4678882435.06641","4952854181.94312","5330084964.83374","5840008034.54296","5475951630.32949","3885882472.5926","5690141407.93561","",
"Bosnia and Herzegovina","BIH","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4103287977.58792","4478704261.33705","4233747802.7139","4454105662.98109","4851943472.90821","6141070240.67827","7258686500.70098","8102600536.90609","8486257450.34894","9572822741.8794","11932317997.2184","8843094164.83382","9111199364.34535","10931320922.7964","10040398877.8162","10197416966.7208","11009144141.0548","9138298792.46907","9464042084.20906","11084695243.4006","12293052059.468","11875922569.9116","10352340383.6062","13682930804.2199","15832699724.669",
"Belarus","BLR","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2642300000","3228400000","5805300000","7379400000","8806300000","8236300000","6718000000","7687300000","8542800000","9174200000","11686000000","16629300000","17410800000","23407700000","30331300000","42006900000","31224400000","38401700000","49812500000","51441900000","49930400000","47106500000","35770700000","32822900000","39421300000","44668300000","45417700000","38692300000","48929620144.63","46152226142.87",
"Belize","BLZ","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","160500000","154500000","160050000","186250000","230300000","270100000","269200000","310900000","348900000","366400000","348009500","350571000","353215000","405360000","429207500","515081127.57","650070518.54","663851783.185329","692035812.946936","746399519.044807","733232367.993939","824213312.09768","885415139.537283","968793426.613351","1128919069.61789","894994611.264782","971730314.505182","1052210166.28366","1148414699.64504","1207738671.8433","1301259086.85436","1285363604.14302","1247609694.42798","1266107488.06888","1309875617.01404","1376654759.53349","968044413.076759","1333646053.19427","1716754535.46002",
"Bermuda","BMU","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2279010000","2792183990.91831","2774046912.72994","2419673842.91397","2316834768.08997","2151149717.62145","2055398066.04953","2731517415.0302","2257674245.31606","2086643114.06224","2230728286.6658","2336202289.25594","2478381735.67217","2634531065.25249","1992960734.96649","2106886907.60407","",
"Bolivia","BOL","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","703700000","833600000","1064500000","1321600000","1111600000","1525900000","1136800000","1143300000","1110700000","1099300000","1168400000","1210400000","1128700000","1310700000","1353600000","1387000000","1567200000","1648500000","1554000000","1808800000","1968220000","2357040000","2489300000","2342000000","2442844000","2311969800","2379915000","2421803168.65788","2791557489.72562","3362182546.41486","4089585617.54493","4999477982.64048","6660923420.61008","6062230000","7126195498.39748","9899628535.83316","11689614872.5549","13139172258.0848","14715527630.7854","13145353349.3966","11547819331.303","13052747862.4973","13548295193.0171","12936185063.1869","8610339831.17948","11829655603.8577","15909308242.2562",
"Brazil","BRA","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","16950000000","17841000000","18622000000","21597000000","28493000000","36250000000","38873000000","39773000000","31286000000","30334000000","29737000000","30522000000","30250000000","32758000000","38036000000","40949000000","38806000000","37099000000","46486000000","54788000000","77855000000","83545000000","98373267969.47","99636260914.1","87269997790.8499","95661064783.1999","96904811096.175","84555050887.0789","86890660601.3502","105535929694.492","128663974156.305","155928428201.672","201235966257.233","279112049620.489","220770530026.918","338568133313.48","401281640338.03","385001274280.12","384275058084.97","384479355544.85","292019872747.59","263790083547.35","301961209917.87","341566174210.7","353167335139.65","288870330346","396160332875.4","477348615161.7",
"Barbados","BRB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","93105447.4177852","105510461.064244","123621383.313589","148030159.627785","156956749.440409","178467497.315497","206137546.457121","229109210.065653","251194071.754551","275713837.575","315889083.45","369113285.05","480988441.635","620188207.5","689429805","683339345","746418542.5","792885210","747406882.5","771053072.96718","728331365.172065","775472672.37434","886216951.35513","928183696.78672","907417696.481175","732679048.297495","835876298.081485","895876155.56455","1095166528.74644","1189895824.93346","1351570215.51375","1418174365.98172","1519001468.39325","1642255250.1806","1565260841.80908","1604681575.60249","1811406110.38202","2045940719.84416","2341777561.42597","2598561592.98846","2702663071.45055","2872480174.0001","2494312192.62802","2528242422.41357","2700256531.74122","2732478369.95407","2903820053.66279","3080896211.34867","2746100172.75432","3077685412.88416","2539069266.3202","","","","","",
"Brunei Darussalam","BRN","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2320856830.35973","2525387182.71462","2492944930.76328","2613392361.93131","2712057425.0859","2984544472.04051","3514570851.69724","4509283792.16383","3980865930.28231","4873744257.08483","7032830955.8717","8179496439.36804","8969687394.26329","6885721898.65286","5316773600.69316","4545475509.44616","4659986431.56194","6593910007.62187","7472240435.27948","6942017238.52448","10087801414.3564","",
"Bhutan","BTN","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","524567280.625549","613006523.323934","835295386.741971","734907644.499329","1023724987.23347","1425393616.72617","1338732748.27616","1284139885.26636","1265852813.70223","1378095770.27516","1433430290.31148","1464218232.20844","1500094589.95199","1488182142.10911","1366515397.41071","1203161304.88636","1775438129.45479",
