1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
-0.2518431520135072,-0.2520751154809226,-0.2522963523605926,-0.2525398217637832,-0.25280558329378333,-0.253067817173302,-0.25335271130375614,-0.25369376925552817,-0.2540928886124551,-0.2545282408839969,-0.25497407304342723,-0.25543478722626606,-0.25592921411851294,-0.25643192493654215,-0.25694767846316946,-0.2574859899941221,-0.2580471997752564,-0.25862026139173355,-0.2591840469096006,-0.25969579643072926,-0.26015323789785305,-0.2606477128964506,-0.2611728064316926,-0.26171183987576524,-0.26223092828283345,-0.26270958953880696,-0.26327132461589414,-0.2638804927462739,-0.2645459845273665,-0.2652225801939936,-0.26592811364349456
-0.2352895055139587,-0.23713385960512393,-0.2383080031084782,-0.2388023779749491,-0.23864534396718093,-0.23856000620706705,-0.23877893572567951,-0.23915563718813285,-0.2396246171788936,-0.24016223294715078,-0.24074655225063654,-0.24140485527325106,-0.2421853179293456,-0.2429959398817635,-0.24376905943973481,-0.24460818891565403,-0.24551502843317735,-0.24643111974461032,-0.24733516764490393,-0.24818964452570175,-0.24899451633815817,-0.24978714175922306,-0.2505675916233872,-0.2513555825172394,-0.2521074780556661,-0.2528080592380993,-0.2535753471838692,-0.2543776911294372,-0.2552326689823135,-0.2560986621509148,-0.2569557555555168
-0.21066584666197352,-0.2113949025135147,-0.21223512248140164,-0.21315322728197933,-0.21407367836920715,-0.2149998648094204,-0.21593095480418498,-0.2168757719534185,-0.2178518044128999,-0.21885235804233452,-0.21988195313723702,-0.22092516015381788,-0.2219759214254016,-0.2230217121950105,-0.22404130244290416,-0.22501714594020436,-0.22596882528555265,-0.226889164234055,-0.22778330502309707,-0.2286371372170395,-0.2294297616590254,-0.2302105051748601,-0.23097839549554747,-0.23172280646001966,-0.23245658600791985,-0.23321029618730468,-0.23404688906192103,-0.23490038323949322,-0.2358458825709575,-0.2368770428448451,-0.2379684659248569
-0.25222312981115474,-0.2524593436969998,-0.25268184602854965,-0.2529219653299138,-0.25317932952195377,-0.25342901637846943,-0.25369979372132856,-0.2540258170539575,-0.2544104871584694,-0.2548312448798149,-0.25526129945291853,-0.2557065804960296,-0.2561858823802265,-0.25667374442913393,-0.2571750682199268,-0.25769940698126526,-0.25824713508094566,-0.25880740712977873,-0.2593603971728077,-0.259861325121522,-0.26030576433978897,-0.2607853624140958,-0.2612954454041444,-0.2618203951104886,-0.26232498582360686,-0.2627887983428726,-0.26333548535118684,-0.26393019662455613,-0.26458292517254045,-0.2652476762212504,-0.2659430869469944
-0.2223629115203756,-0.22241053623031856,-0.2224520618413136,-0.22251737277691708,-0.22260327373235655,-0.2226847278263711,-0.22277753914131715,-0.22289808933078295,-0.2230581037437999,-0.2232471722110039,-0.22343464726317175,-0.22362284663905616,-0.22383459519891027,-0.22404927917292572,-0.22426273848959954,-0.22448724962076388,-0.22473468922595483,-0.22499036050127888,-0.22523474972222823,-0.22544157390627018,-0.2256240198449146,-0.22584149563987235,-0.2260840619496659,-0.22633569093082195,-0.22657077533902234,-0.2267746614430631,-0.22703538838638024,-0.22732182120538247,-0.22767029412072376,-0.22802766737296296,-0.2283864128405709
0.3931782865206671,0.3944689173672995,0.3957782507386931,0.39718056746442865,0.3985754912877522,0.39996056509204925,0.4014686474291504,0.40314937552848473,0.40487569332188583,0.4065986885632657,0.4082539732838748,0.4096756852848699,0.4109755028350235,0.41222889961337866,0.41335335805138224,0.4143147814662639,0.4150405228635466,0.41565969947806924,0.4162872305085897,0.41664048394888875,0.416341444789192,0.41592616996091564,0.41564966844102086,0.4155447384836739,0.41527870655423194,0.41488413867926227,0.4150883776116572,0.4156126089537816,0.4160249001033848,0.4164916946202513,0.4169699208014503
-0.25193334876345386,-0.25218618505865786,-0.25242656299942245,-0.2526881084987353,-0.2529712071152539,-0.25325004705149096,-0.25355122383653705,-0.2539065720701306,-0.2543194546043446,-0.25476703223555724,-0.2552227596073176,-0.25569380666478003,-0.25619898688991755,-0.25671282774388376,-0.25724016780712766,-0.2577901779078552,-0.25836276183605295,-0.2589476466150302,-0.25952375019482815,-0.2600461379116304,-0.26051204548971796,-0.26101327616916753,-0.26154488952786,-0.2620908671612274,-0.26261593644967984,-0.2630997662403156,-0.26366656638736585,-0.2642803129033758,-0.26494826335582483,-0.26562636650886357,-0.26633596774597784
-0.24712328511893678,-0.2472752859296035,-0.247418053225865,-0.2475874564254242,-0.2477856329558666,-0.24798608120258933,-0.2482119248017309,-0.2484922876608447,-0.2488302189931013,-0.24920486140719053,-0.24959466460598254,-0.25000427436182654,-0.25044580692181795,-0.25089110657185065,-0.2513423706937187,-0.2518084024220672,-0.252291324686177,-0.2527823673764122,-0.2532613857382579,-0.2536914425096323,-0.2540749429328298,-0.25449267381863694,-0.2549360534149083,-0.25538730859043357,-0.2558108768202971,-0.2561884000391237,-0.25664342040901317,-0.2571454757973912,-0.25770179130071563,-0.2582737149157803,-0.25887263710691955
-0.13541639053629434,-0.1359869866901501,-0.1365177146485278,-0.13708723954748805,-0.1376263405081941,-0.13818859512253362,-0.13890087358710174,-0.1395922319610357,-0.1401258966311456,-0.14045936390299357,-0.14074592849030962,-0.14121266223662957,-0.141639782746369,-0.14204401761308458,-0.14236006366714368,-0.14271660137970493,-0.14295131763485566,-0.14310558085300287,-0.14326831165514828,-0.143576188939668,-0.14379035710808102,-0.14405020400557225,-0.14435880521583308,-0.1449413456566741,-0.14503715871777706,-0.14501737344725463,-0.1447059789180215,-0.14430870984005664,-0.1442867696104533,-0.14470240042941643,-0.1435235247209493
-0.2245143325967764,-0.22488884031559842,-0.22527498089983097,-0.22570508974456582,-0.2262094121235343,-0.22675542120923203,-0.22729169710693015,-0.22781043872798554,-0.22834492884069246,-0.22888247565504796,-0.2293836192461029,-0.2298925575276956,-0.2304416625588978,-0.23100764771390273,-0.231584766901882,-0.23210777037231756,-0.23254995326399444,-0.23300424482186013,-0.23350101235005857,-0.23393426389156632,-0.2343441994094819,-0.23476005998680022,-0.2351774571236314,-0.23562068875039052,-0.2360532409654191,-0.2364895771428656,-0.2370364947426526,-0.23761502764021897,-0.23821835153029836,-0.2387865079383985,-0.23936334735615797
