"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340171.66846","4337766234.94087","3611169956.41269","3768351068.00571","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702253.32918","4520479144.19354","4796011010.32887","5364361899.84511","5020745414.16513","3994947206.94287","5221808799.96724","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","29564361702.1277","25249202127.6596","35234574468.0851","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4202800000","4214500000","4244100000","3903000000","3968300000","4546300000","4640600000","2403900000","3318200000","4840300000",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022026030.49594","1124011272.77307","1295465943.30199","1218441581.06145","1280121809.16829","1286840081.19033","1749750909.27713","2288902779.86586","2728982583.38851","3378094692.50883","4276283188.26809","5131418038.67652","4405138501.45312","5100601596.19377","5972863159.30134","5572942460.22653","6134183759.36331","6307949442.50821","5760367877.81496","6146467272.70168","7390003366.97738","8600138327.24755","8201248946.1113","6913559104.96953","9968914276.5638","11343137994.3672",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9950000000","6000000000","10185185185.1852","11008264462.8099","10641993957.7039","6939552977.46472","6839769230.76923","8457248497.9202","8988770378.07839","7186389618.7248","8815283224.1715","8246546762.58993","9286390209.85527","11614409766.3034","15709979018.7049","18064972931.8142","22199755428.1619","27592422457.3971","37021013177.5571","24865011169.6196","29401680706.1249","48462044103.7531","51745323350.6706","44057915198.1365","43300622230.6554","32749615853.2496","29831679103.3743","36550989516.1742","42294683718.2482","41927382536.4323","37444226965.7625","49351334849.8725","46375427919.361",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677.085","84972542.79","70947948.345","76516537.315","108649358.11","83652580.96","104359482.16","137936011.205","161076592.03","172914999.69","223500000","214500000","285000000","289500000","320500000","329000000","355000000","382500000","401000000","440500000","488000000","491000000","542500000","583000000","592000000","674000000","824000000","863000000","936000000","767000000","885500000","1039000000","1137500000","1140000000","1186500000","1131000000","1059500000","1128500000","1182500000","1238500000","770500000","1158000000","1401236047.2",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3719872000","3841155000","3246335000","3566600000","3950300000",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","61111111.1111111","67255892.2558923","67929292.9292929","81986531.986532","110437710.43771","129713804.713805","142255892.255892","170033670.03367","169696969.69697","189814814.814815","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068844959.97386","1112933231.03934","1370742617.82177","1625894825.97042","1535521646.11805","1459382848.46092","1024367606.51384","844299281.159255","853524498.116938","862854457.833483","1061009764.10996","1108688418.86801","1147697770.16475","1131356580.96577","1094224458.29507","1295731047.39369","1514364540.02406","1670369313.91313","1673170720.25706","1673894594.2022","1398593308.28156","1534686755.83707","1626035992.58353","1710308633.19386","2069153759.11217","2731911668.34677","3394535648.58938","4783632130.01121","5483635196.17129","7487843528.14207","6194300356.12536","8093221724.46555","10565766371.0882","12774727337.1925","13518462720.6946","14285068712.0116","10186598885.6729","8311504862.51809","9341206396.52677","10470274254.7033","10210442518.0897","7425817973.9508","11243140347.3227","",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1069822093.95372","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.9098","16026612550.3001","21276141967.6084","24828388398.9376","21435129573.2899","23221079048.8769","28317692073.148","27305943480.8901","23640555933.3822","27820190341.2553","35921688764.4272","36878468232.3992","38116263322.6982","35381245529.0301","42447991173.3446","46035787618.0862","51963253558.5797","57922145078.0966","57235482141.0805","61680043692.3598","60723205296.4913","57355154407.5107","66777376062.3492","69279563666.9974","72546876197.2113","84744254253.7858","110739015035.305","135919138213.431","159213766928.492","186202847697.595","229517077418.064","180891954688.839","240003177224.995","303016670598.927","292808453703.338","290364152907.702","270458135214.85","232488797696.16","223863316072.015","258330740880.183","280543238550.157","264562972898.284","242872080932.05","322693906605.519","384893485436.18",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","202627097.668432","202690388.262302","245539166.832769","321101774.971412","438572067.816835","603440560.831303","565753492.765873","631531845.075324","740714960.473326","823546959.67782","811763536.021479","715905135.981703","659623129.319346","748670014.418535","852533187.490678","867846666.335206","819569432.705216","808900000","872470541.440859","973599164.719336","1038930045.24437","1134340973.49973","1161686471.43638","1194252473.52459","1230497688.06245","1322800000","1251500000","1211100000","1378750000","1435900000","1711700000","1938700000","2043900000","2090350000","1904950000","1763300000","1766750000","1811200000","1914200000","1879250000","1892295050","1765692250","1781072150","1810800000","1942400000","1389450000","1471300000","",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966815309.607563","1052165479.258","1332744240.72751","1639747479.3924","1844746650.33906","2665368830.70714","4601607349.48781","4066849951.7809","3809768578.95342","3393672654.87976","","","","","","1845396550.0297","2175959982.34516","2468235362.21817","2421166792.85436","2248434590.07948","2087801354.44121","2827057059.70544","3065868659.83196","2972105780.38543","2044692036.43638","2567617264.5515","4042122686.29071","3894126462.1056","3922175002.07102","4543570500.61705","5415999435.97365","6688047416.55764","8227154485.18924","8310388261.79608","11269951781.7241","7811522083.12497","9239727514.29362","12876088998.672","13364629331.1917","12311718881.2794","11656781605.3692","6750983190.26498","5651999024.0381","6012333206.35723","7045737336.26607","7804891364.76613","6886057681.22899","11228856094.4886","14411067913.6479",
"Bhutan","BTN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","18503245.9886108","22606627.4969653","20411137.7141661","19970495.3081295","21882347.76551","25823143.0023859","35502015.4631303","59610384.6005478","79702763.3903178","77419494.006348","80463907.2185563","80401686.7148489","80226225.576094","74253380.8665566","79954758.3460915","114470386.527802","112281786.408819","131386623.119091","124774096.741431","130394707.875976","129007900.363149","125226514.969519","128201349.154551","158786312.135821","218041619.896814","313215510.893147","488540409.403181","657473920.074554","613943855.732134","565372363.062421","673077165.22158","750024640.850673","706230424.853583","727603544.069442","714242541.254519","689951577.778535","639422102.597535","737148276.658368","754068458.07795","860577775.380933","689742223.19386","808222298.611893","",
"Botswana","BWA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","7990793.68413588","8954875.93831381","9954217.68895451","11044514.9345657","11990095.9647013","14518359.0002241","15063109.5831445","14434147.5453913","15272005.8018072","17616982.7608988","23729312.0865775","42248948.781726","61462543.7180467","94797089.465795","125243385.063585","154832735.23875","187450047.078079","229880370.63123","307369255.234659","443738702.068374","562900061.839107","533739142.504215","553774584.797562","727761145.145609","754559551.68087","739001699.555731","951576803.886484","1476466562.00412","1864991420.97384","1826381395.47196","2086950445.65452","2090888704.57914","1997748521.72677","1959245999.40159","2036879729.55833","2404871209.69817","2609472564.29874","3056374511.63182","2361188675.49481","3027163389.63457","3000196009.25164","2671112100.25337","2836771648.87698","3667669548.87978","4444139018.51733","5249438114.40968","5136222269.86604","5968390548.64143","5037791868.6365","3625814639.12315","5325894408.36078","6684404110.2234","6691579858.7139","8759959006.57725","9480529016.9246","7183596215.15466","8236832247.94921","6912339959.24907","7532912345.37339","6203274507.55555","4681117661.47855","7858679673.5893","8848562686.92015",
"Central African Republic","CAF","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","26101663.3835689","32618432.2159222","30610519.6868852","32650882.1850972","40403676.9928614","40806173.502645","44773974.2816991","43089266.6311441","65799815.6069564","51399886.4379585","60397784.8427191","60030793.1725377","57429305.0556334","77607287.9044525","78051063.5060401","80012173.6614937","100096593.118022","127861442.836413","142999454.862569","157199523.894026","201027871.421978","169417094.222737","165958867.343755","159064467.493195","149211731.059005","190340640.332047","204099899.17737","214306703.601542","224453247.580242","250535801.508295","245892979.782661","242234407.8298","238129778.940129","218665898.966343","199169785.24363","247850125.494456","216376647.729019","252105056.33814","219168761.878591","192136061.26759","186767826.171772","160016888.472584","158999419.049676","208312702.467614","178103975.531333","178779525.707854","209279918.882114","239933929.572643","219347919.981624","203464465.482303","249093430.158787","320053983.75412","289922950.419435","253274134.983801","315975056.085544","289437777.675761","270501993.105402","357682917.054553","354024741.947347","349974468.796809","353021263.560164","357002543.976817","316110492.569439",
